Key,File,Type,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
xuiAngle,UI,Menu,"Beam ∠","Strahl ∠","Viga ∠","Poutre ∠","Trave ∠","ビーム∠(｀・ω・´)","Wiązka ∠","Beam ∠","Луч ∠","Kiriş ∠","光束∠","光束∠","Viga ∠","Греда ∠","Paprsek ∠","Bjælke ∠","Δοκός ∠","Tala ∠ tala ∠","Palkki ∠","Gerenda ∠","Balok ∠","Spindulys ∠","Sija ∠","Beam ∠","Grindă ∠","Lúč ∠","Žarek ∠","Strålen ∠"
xuiLightMode,UI,Menu,Mode,Modus,Modo,Mode,"Modalità","モード",Tryb,Modo,"Режим",Mod,"模式","模式",Modo,"Режим","Režim",Tilstand,"Λειτουργία","Režiim",Tila,"Mód",Mode,"Režimas","Režīms",Modus,Mod,"Režim","Način","Läge"
xuiTemperature,UI,Menu,Temp.,Temp.,Temp.,Temp.,Temp.,"温度",Temp.,Temp.,"Темп.","Sıcaklık.","温度。","温度。",Temp.,"Температура.",Teplota.,Temperatur.,"Θερμοκρασία.",Temperatuur.,"Lämpötila.","Lassúság.",Temp.,"Temperatūra.","Temperatūra.",Temp.,Temp.,Teplota.,Temperatura.,Temperatur.
xuiLightOptions,UI,Menu,Light Options,Leichte Optionen,Opciones de luz,"Options d'éclairage",Opzioni luce,"ライトオプション","Opcje oświetlenia","Opções de luz","Варианты освещения","Işık Seçenekleri","灯光选项","燈光選項",Opciones de luz,"Опции за осветление","Možnosti osvětlení",Lysindstillinger,"Επιλογές φωτισμού",Valgus Valikud,Valo Vaihtoehdot,"Fény opciók",Opsi Cahaya,"Šviesos parinktys",Gaismas opcijas,Licht Opties,"Opțiuni de lumină","Možnosti osvetlenia","Možnosti osvetlitve",Ljusalternativ
ocbLanternLamp,block,block,Mining Lantern,Bergbau-Laterne,Linterna minera,"Lanterne minière",Lanterna mineraria,"マイニングランタン","Latarnia górnicza","Lanterna de mineração","Горный фонарь",Madencilik Feneri,"采矿灯笼","采礦燈籠",Linterna minera,"Минно фенерче","Hornická lucerna",Lanterne til minedrift,"Φανάρι εξόρυξης",Kaevandamise latern,Kaivos lyhty,"Bányászati lámpa",Lentera Pertambangan,"Kalnakasybos žibintas","Kalnrūpniecības laterna",Mijnbouw Lantaarn,"Lanternă minieră","Banský lampáš",Rudarska svetilka,"Lantern för gruvdrift"
ocbLanternLampDesc,block,block,"Mining Lantern that doesn't need any external power. Unlocked by reading Art of Mining Vol 7.","Bergbau-Laterne, die keine externe Energie benötigt. Freigegeben durch Lesen von Art of Mining Vol. 7.","Linterna minera que no necesita energía externa. Desbloqueado al leer Art of Mining Vol 7.","Lanterne minière qui n'a pas besoin d'alimentation externe. Débloqué en lisant Art of Mining Vol 7.",Lanterna mineraria che non necessita di alimentazione esterna. Si sblocca leggendo Art of Mining Vol. 7.,"外部電源を必要としない採掘用ランタン。Art of Mining Vol.7を読むことでアンロックされる。","Górnicza Latarnia, która nie potrzebuje żadnego zewnętrznego zasilania. Odblokowana po przeczytaniu Art of Mining vol 7.","Lanterna de mineração que não precisa de qualquer energia externa. Desbloqueado pela leitura do Art of Mining Vol 7.","Горный фонарь, не требующий внешнего питания. Разблокируется после прочтения книги ""Искусство горного дела"" том 7.","Herhangi bir harici güce ihtiyaç duymayan Madencilik Feneri. Madencilik Sanatı Cilt 7'yi okuyarak açılabilir.","采矿灯，不需要任何外部电源。通过阅读《采矿艺术》第七卷解锁。","采礦燈，不需要任何外部電源。通過閲讀《采礦藝術》第七[卷捲]解鎖。","Linterna minera que no necesita energía externa. Desbloqueado al leer Art of Mining Vol 7.","Минно фенерче, което не се нуждае от външно захранване. Отключва се след прочитане на Art of Mining Vol 7.","Těžební lucerna, která nepotřebuje žádné externí napájení. Odemkne se po přečtení knihy Art of Mining Vol. 7.","Minelanterne, der ikke har brug for ekstern strøm. Låses op ved at læse Art of Mining Vol 7.","Φανάρι εξόρυξης που δεν χρειάζεται εξωτερική τροφοδοσία. Ξεκλειδώνεται με την ανάγνωση του Art of Mining Vol 7.","Kaevanduslamp, mis ei vaja välist energiat. Avatud lugedes Art of Mining Vol 7.","Kaivoslyhty, joka ei tarvitse ulkoista virtaa. Avautuu lukemalla Art of Mining Vol 7.","Bányászlámpa, amely nem igényel külső áramellátást. A bányászat művészete 7. kötetének elolvasásával oldható fel.",Lentera Penambangan yang tidak membutuhkan daya eksternal. Terbuka dengan membaca Art of Mining Vol 7.,"Kalnakasybos žibintas, kuriam nereikia jokio išorinio maitinimo. Atrakinama perskaičius ""Art of Mining"" 7 tomą.","Kalnrūpniecības laterna, kurai nav nepieciešama ārēja jauda. Atbloķējams, izlasot Art of Mining Vol 7.",Mijnbouw lantaarn die geen externe energie nodig heeft. Ontgrendeld door het lezen van Art of Mining Vol 7.,"Lanternă de minerit care nu are nevoie de energie externă. Se deblochează citind Art of Mining Vol 7.","Banská lampa, ktorá nepotrebuje žiadne externé napájanie. Odomkne sa po prečítaní knihy Art of Mining Vol 7.","Rudarska svetilka, ki ne potrebuje zunanjega napajanja. Odklenete jo z branjem knjige Art of Mining Vol. 7.","Gruvlykta som inte behöver någon extern ström. Låses upp genom att läsa Art of Mining Vol 7."
ocbRoadBarricade,blocks,block,Powered Road Barricade,"Elektrische Straßenbarrikade",Barrera de carretera motorizada,"Barrière routière motorisée",Barricata stradale motorizzata,"パワード・ロード・バリケード","Napędzana barykada drogowa","Barricada Rodoviária","Дорожные баррикады с приводом","Elektrikli Yol Barikatı","电动路障","電動路障",Barrera de carretera motorizada,"Задвижвана пътна барикада","Silniční barikády s pohonem","Elektrisk drevet vejspærring","Ηλεκτροκίνητο οδόφραγμα","Elektriline teetõke",Powered Road Barricade,"Elektromos közúti barikád",Barikade Jalan Bertenaga,"Kelių barikados su varikliu","Ceļu barikādes ar piedziņu",Aangedreven wegversperring,"Baricadă rutieră cu motor","Cestná barikáda s pohonom",Cestna barikada s pogonom,"Motoriserad vägbarrikad"
ocbRoadBarricadeDesc,blocks,block,Robust Road Barricade. Can be powered to be visible from far away. Unlocked by reading all Tech Junkie volumes.,"Robuste Straßenbarrikade. Kann mit Strom versorgt werden, um aus der Ferne sichtbar zu sein. Wird durch das Lesen aller Tech Junkie-Bände freigeschaltet.","Robusta barricada de carretera. Se puede potenciar para que sea visible desde lejos. Se desbloquea leyendo todos los volúmenes de Tech Junkie.","Barrière routière robuste. Peut être alimentée pour être visible de loin. Débloqué en lisant tous les volumes de Tech Junkie.","Barricata stradale robusta. Può essere alimentata per essere visibile da lontano. Si sblocca leggendo tutti i volumi di Tech Junkie.","堅牢なロードバリケード。電源を入れて遠くから見えるようにすることができる。テックジャンキー全巻を読むと解除される。","Wytrzymała barykada drogowa. Można ją zasilić, by była widoczna z daleka. Odblokowana po przeczytaniu wszystkich tomów Tech Junkie.","Barricada Estrada Robusta. Pode ser alimentada para ser visível de longe. Desbloqueado pela leitura de todos os volumes de Tech Junkie.","Прочные дорожные баррикады. Может питаться энергией, чтобы быть видимым издалека. Открывается после прочтения всех томов Tech Junkie.","Sağlam Yol Barikatı. Uzaktan görülebilmesi için güçlendirilebilir. Tüm Tech Junkie ciltlerini okuyarak açılır.","坚固的路障。可以通电，从很远的地方就可以看到。通过阅读所有的《技术迷》章节来解锁。","堅固的路障。可以通電，從很遠的地方就可以看到。通過閲讀所有的《技術迷》章節來解鎖。","Robusta barricada de carretera. Se puede potenciar para que sea visible desde lejos. Se desbloquea leyendo todos los volúmenes de Tech Junkie.","Здрава пътна барикада. Може да се захранва със захранване, за да се вижда отдалеч. Отключва се след прочитане на всички томове на Tech Junkie.","Robustní silniční zábrana. Může být napájena, aby byla viditelná z velké dálky. Odemkne se přečtením všech dílů Tech Junkie.","Robust vejspærring. Kan forsynes med strøm, så den er synlig på lang afstand. Låses op ved at læse alle Tech Junkie-bøger.","Ανθεκτικό οδόφραγμα. Μπορεί να τροφοδοτηθεί με ρεύμα για να είναι ορατό από μακριά. Ξεκλειδώνεται διαβάζοντας όλους τους τόμους του Tech Junkie.","Vastupidav teetõke. Saab olla elektritoitega, et olla kaugelt nähtav. Avatud kõigi Tech Junkie köite lugemisega.","Tukeva tiesulku. Voidaan kytkeä virtalähteeseen, jotta se näkyy kauas. Avautuu lukemalla kaikki Tech Junkie -teokset.","Robusztus útakadály. Táplálható, hogy messziről látható legyen. Feloldható az összes Tech Junkie kötet elolvasásával.",Barikade Jalan yang Kuat. Dapat diberi daya agar terlihat dari jauh. Terbuka dengan membaca semua volume Tech Junkie.,"Tvirta kelio užtvara. Gali būti maitinama, kad būtų matoma iš toli. Atrakinama perskaičius visus ""Tech Junkie"" tomus.","Izturīga ceļa barikāde. Var darbināt, lai tā būtu redzama no tālienes. Atbloķējama, izlasot visus Tech Junkie sējumus.",Robuuste wegversperring. Kan van stroom worden voorzien om van ver zichtbaar te zijn. Vrijgespeeld door alle Tech Junkie delen te lezen.,"Baricadă rutieră robustă. Poate fi alimentat pentru a fi vizibil de la distanță. Se deblochează prin citirea tuturor volumelor Tech Junkie.","Robustná cestná barikáda. Môže byť napájaná tak, aby bola viditeľná z veľkej vzdialenosti. Odomkne sa po prečítaní všetkých zväzkov Tech Junkie.","Robustna cestna barikada. Lahko se napaja, da je vidna od daleč. Odklenete jo z branjem vseh zvezkov Tech Junkie.","Robust vägbarrikad. Kan drivas för att vara synlig på långt håll. Låses upp genom att läsa alla Tech Junkie-böcker."
ocbDeskLampVariantHelper,block,block,Table Lamps,Tischlampen,"Lámparas de mesa",Lampes de table,Lampade da tavolo,"テーブルランプ","Lampy stołowe","Lâmpadas de mesa","Настольные лампы","Masa Lambaları","台灯","[台臺檯颱]燈","Lámparas de mesa","Лампи за маса","Stolní lampy",Bordlamper,"Επιτραπέζια φωτιστικά",Laualambid,"Pöytävalaisimet","Asztali lámpák",Lampu Meja,"Stalo šviestuvai",Galda lampas,Tafellampen,"Lămpi de masă","Stolové lampy",Namizne svetilke,Bordslampor
ocbSignLampVariantHelper,block,block,Illuminated Signs,Beleuchtete Schilder,Carteles luminosos,Enseignes lumineuses,Insegne luminose,"イルミネーション看板","Znaki podświetlane",Sinais Iluminados,"Светящиеся вывески","Işıklı Tabelalar","发光标志","[發髮]光標志",Carteles luminosos,"Осветени знаци","Osvětlené značky",Lysende skilte,"Φωτιζόμενες πινακίδες","Valgustatud märgid",Valaistut merkit,"Megvilágított jelek",Tanda yang Diterangi,"Šviečiantys ženklai","Apgaismotas zīmes",Verlichte borden,Semne luminoase,"Osvetlené značky",Osvetljeni znaki,Ljusskyltar
ocbSmallWallLampVariantHelper,block,block,Small Wall Lights,Kleine Wandleuchten,"Apliques pequeños",Petits luminaires muraux,Piccole luci a parete,"小型ウォールライト","Małe lampy ścienne",Luzes de parede pequenas,"Маленькие настенные светильники","Küçük Duvar Lambaları","小型壁灯","小型壁燈","Apliques pequeños","Малки стенни лампи","Malá nástěnná svítidla","Små væglamper","Μικρά φώτα τοίχου","Väikesed seinavalgustid","Pienet seinävalot","Kis fali lámpák",Lampu Dinding Kecil,"Maži sieniniai žibintai",Mazie sienas lukturi,Kleine wandlampen,Lumini de perete mici,"Malé nástenné svietidlá","Majhne stenske luči","Små vägglampor"
ocbSmallCeilLampVariantHelper,block,block,Small Ceiling Lights,Kleine Deckenleuchten,"Lámparas de techo pequeñas",Petits plafonniers,Piccole luci da soffitto,"小型シーリングライト","Małe lampy sufitowe",Pequenas luzes de teto,"Маленькие потолочные светильники","Küçük Tavan Işıkları","小型吸顶灯","小型吸頂燈","Lámparas de techo pequeñas","Малки таванни лампи","Malá stropní svítidla","Små loftslamper","Μικρά φώτα οροφής","Väikesed laevalgustid",Pienet kattovalaisimet,"Kis mennyezeti lámpák",Lampu Langit-langit Kecil,"Maži lubų žibintai","Mazie griestu gaismekļi",Kleine Plafondlampen,Lumini de plafon mici,"Malé stropné svietidlá",Majhne stropne svetilke,"Små taklampor"
ocbMediumWallLampVariantHelper,block,block,Medium Wall Lights,Medium Wandleuchten,Apliques medianos,Lampes murales moyennes,Luci a parete medie,"ミディアムウォールライト","Średnie lampy ścienne","Luzes de parede médias","Средние настенные светильники","Orta Boy Duvar Lambaları","中型壁灯","中型壁燈",Apliques medianos,"Средни стенни осветителни тела","Střední nástěnná svítidla","Medium væglamper","Μεσαία φώτα τοίχου",Keskmise seinavalgustid,"Medium seinävalot","Közepes fali lámpák",Lampu Dinding Sedang,"Vidutiniai sieniniai žibintai","Vidēja izmēra sienas lampas",Wandlampen Medium,Lumini de perete medii,"Stredné nástenné svietidlá",Srednje stenske svetilke,"Medium vägglampor"
ocbMediumCeilLampVariantHelper,block,block,Medium Ceiling Lights,Medium-Deckenleuchten,"Lámparas de techo medianas",Plafonniers moyens,Plafoniere medie,"中型シーリングライト","Średnie lampy sufitowe","Luzes de teto médias","Средние потолочные светильники","Orta Boy Tavan Işıkları","中型吸顶灯","中型吸頂燈","Lámparas de techo medianas","Средни таванни лампи","Střední stropní svítidla",Medium loftslamper,"Μεσαία φώτα οροφής",Keskmine laevalgustid,Medium kattovalaisimet,"Közepes mennyezeti lámpák",Lampu Plafon Sedang,"Vidutiniai lubų žibintai","Vidēja izmēra griestu lampas",Plafondlampen Medium,Lumini de plafon medii,"Stredné stropné svietidlá",Srednje stropne svetilke,Medium taklampor
ocbSpecialCeilLampVariantHelper,block,block,Special Ceiling Lights,Spezial-Deckenleuchten,"Lámparas de techo especiales","Plafonniers spéciaux",Plafoniere speciali,"特殊天井照明",Specjalne lampy sufitowe,Luzes de teto especiais,"Специальные потолочные светильники","Özel Tavan Işıkları","特殊的天花板灯","特殊的天花[板闆]燈","Lámparas de techo especiales","Специални таванни лампи","Speciální stropní svítidla","Særlige loftslamper","Ειδικά φώτα οροφής",Spetsiaalsed laevalgustid,Erityiset kattovalaisimet,"Különleges mennyezeti lámpák",Lampu Plafon Khusus,"Specialūs lubų žibintai","Īpašas griestu lampas",Speciale Plafondlampen,Lumini de plafon speciale,"Špeciálne stropné svietidlá",Posebne stropne svetilke,"Särskilda taklampor"
ocbSpecialGroundLampVariantHelper,block,block,Special Ground Lights,Spezielle Bodenleuchten,Luces especiales para el suelo,"Feux de sol spéciaux",Luci di terra speciali,"専用グラウンドライト","Specjalne oświetlenie terenu",Luzes de Solo Especiais,"Специальные наземные светильники","Özel Zemin Işıkları","特殊地灯","特殊地燈",Luces especiales para el suelo,"Специални наземни светлини","Speciální pozemní světla","Særlige jordlys","Ειδικά φώτα εδάφους",Spetsiaalsed maapealsed tuled,Erityiset maavalot,"Speciális földi fények",Lampu Tanah Khusus,"Specialūs antžeminiai žibintai","Īpašas zemes gaismas",Speciale grondlichten,Lumini speciale la sol,"Špeciálne pozemné svetlá","Posebne zemeljske luči","Särskilda markbelysningar"
